PCIRdCur,ItoM,ItoMCacheNear,WiL,MemRead,MemWrite,MemTotal,drop_pct(%),CPU_busy(%),ksoft_avg,ksoft_max,label
72000,8914000,3623000,277000,8511.26,12369.46,20880.72,0.005859,5.24,12.29,208.95,cpu_interference
82000,9771000,3879000,293000,8526.91,12451.86,20978.77,0.0,5.11,23.09,213.16,normal
118000,14000000,3909000,292000,8651.51,12677.25,21328.76,0.0,5.3,16.48,105.22,normal
17000,770000,433000,41000,8041.31,11435.01,19476.32,0.004525,5.06,23.3,243.52,cpu_interference
567000,71000000,3899000,288000,8670.84,12826.27,21497.11,0.0,5.69,99.81,21546.88,normal
426000,53000000,3611000,273000,8664.27,12554.36,21218.62,0.007593,5.7,14.29,108.64,cpu_interference
557000,66000000,3660000,285000,8528.45,12551.4,21079.85,0.0,6.18,11.0,89.37,normal
525000,65000000,3816000,291000,8651.43,12597.98,21249.4,0.0,6.05,10.94,107.77,normal
26000,2995000,287000,24000,8173.0,11567.85,19740.85,0.005709,5.23,19.71,165.46,cpu_interference
585000,71000000,3898000,286000,8548.74,12547.09,21095.83,0.0,5.35,2629.83,98634.34,normal
574000,65000000,772000,63000,7833.18,11196.08,19029.26,0.010889,6.31,70.21,114.42,cpu_interference
582000,66000000,833000,69000,7508.35,10805.43,18313.77,0.000574,6.3,14.58,80.5,cpu_interference
612000,70000000,2054000,166000,8365.42,12318.28,20683.7,6.9e-05,6.77,11.1,122.24,cpu_interference
37000,4500000,3422000,256000,8062.58,11390.46,19453.04,0.002803,6.68,13.08,105.0,cpu_interference
582000,71000000,3642000,268000,8441.03,12384.87,20825.9,0.0,6.7,11.98,207.79,normal
376000,48000000,2513000,196000,6561.61,8716.26,15277.87,0.003716,6.05,60.28,311.72,cpu_interference
20000,2879000,3108000,238000,7703.14,10502.74,18205.88,0.001929,5.55,14.9,53.81,cpu_interference
97000,13000000,3091000,242000,7706.98,10519.88,18226.86,0.000801,5.89,19.94,67.57,cpu_interference
19000,2677000,17000,1248,8412.94,12705.08,21118.02,0.004142,6.6,33.1,317.29,cpu_interference
647000,71000000,3994000,286000,8351.35,12660.45,21011.79,0.0,6.6,76.25,311.35,normal
523000,66000000,3630000,268000,8642.62,12451.82,21094.44,0.002041,6.75,23.02,66.98,cpu_interference
611000,71000000,3817000,288000,8615.68,12505.76,21121.43,0.0,6.6,21.8,99.83,normal
567000,71000000,3861000,293000,8614.93,12509.08,21124.0,0.0,6.77,19.5,111.94,normal
91000,1614000,3741000,288000,8474.97,13053.26,21528.23,0.006357,5.28,16.65,97.6,cpu_interference
583000,67000000,3816000,277000,8225.88,12294.26,20520.14,0.000278,5.36,2683.1,142538.05,cpu_interference
579000,67000000,376000,27000,8362.54,12748.1,21110.64,0.00024,6.67,23.13,63.28,cpu_interference
607000,71000000,704000,52000,8473.95,12854.8,21328.75,0.0,6.42,11.62,59.29,normal
609000,71000000,1371000,101000,8467.49,12856.65,21324.14,0.0,6.83,17.06,97.06,normal
18000,2547000,114000,11000,8014.36,11354.49,19368.84,0.008852,6.51,16.8,52.84,cpu_interference
135000,16000000,3875000,292000,8425.06,12375.5,20800.56,0.0,6.67,21.9,88.4,normal
18000,2180000,3638000,271000,8383.83,12163.89,20547.72,0.003259,6.64,58.51,80.71,cpu_interference
585000,71000000,3901000,289000,8539.84,12427.42,20967.26,0.0,5.38,11.62,48.86,normal
581000,71000000,3907000,290000,8533.26,12405.47,20938.74,0.0,5.48,10.58,46.29,normal
16000,2108000,185000,14000,8091.44,12086.42,20177.86,0.005887,5.48,19.17,47.03,cpu_interference
610000,71000000,4007000,291000,8353.21,12662.91,21016.12,0.0,5.26,12.68,49.68,normal
612000,71000000,4007000,290000,8448.95,12739.98,21188.93,0.0,5.33,51.33,81.8,normal
618000,71000000,4009000,287000,8328.94,12683.85,21012.78,0.0,5.53,10.31,41.55,normal
614000,71000000,4016000,290000,8370.16,12787.07,21157.23,0.0,5.62,12.32,46.32,normal
35000,4129000,316000,27000,8069.38,11563.27,19632.64,0.005167,5.63,25.0,66.53,cpu_interference
613000,71000000,3907000,304000,8450.08,12661.88,21111.96,0.0,5.36,12.54,52.36,normal
613000,71000000,3894000,304000,8439.22,12372.89,20812.11,0.0,5.54,10.34,43.0,normal
581000,71000000,3888000,289000,8445.09,12539.34,20984.43,0.0,5.5,10.1,36.23,normal
586000,71000000,3909000,299000,8534.63,12440.7,20975.33,0.0,6.01,11.83,52.74,normal
16000,2319000,243000,19000,8001.08,12017.42,20018.5,0.00876,5.23,10.03,39.45,cpu_interference
607000,71000000,3996000,295000,8307.02,12695.35,21002.37,0.0,5.51,8.8,32.77,normal
610000,71000000,4002000,296000,8378.06,12857.52,21235.58,0.000555,5.5,12.0,35.97,cpu_interference
610000,71000000,4000000,298000,8354.6,12758.05,21112.65,0.0,5.38,14.0,48.11,normal
607000,71000000,4000000,297000,8371.68,12821.48,21193.16,0.0,5.77,12.16,40.61,normal
31000,3760000,221000,17000,8264.85,11770.28,20035.14,0.009357,6.19,23.19,76.44,cpu_interference
472000,65000000,3877000,257000,8785.23,12956.62,21741.84,0.0,5.17,14.31,46.69,normal
527000,71000000,4035000,269000,8882.13,13149.62,22031.75,0.0,5.57,15.12,47.67,normal
523000,71000000,4005000,262000,9072.36,13336.15,22408.51,0.0,5.63,15.5,48.59,normal
520000,71000000,4031000,267000,8971.28,13168.4,22139.68,0.0,5.44,13.74,53.0,normal
39000,4694000,257000,21000,7389.47,10696.24,18085.71,0.00579,5.01,10.41,63.38,cpu_interference
567000,63000000,3594000,288000,8037.69,11587.97,19625.66,0.000518,5.43,8.39,39.46,cpu_interference
594000,68000000,3567000,287000,8000.09,11531.29,19531.38,0.001016,5.25,14.07,47.29,cpu_interference
613000,69000000,3665000,296000,8058.55,11739.77,19798.32,0.000452,4.98,10.7,38.61,cpu_interference
613000,69000000,3649000,298000,7464.89,10848.26,18313.15,0.001564,4.9,23.62,52.97,cpu_interference
24000,3087000,269000,21000,7392.28,10295.04,17687.32,0.002825,5.7,15.68,84.59,cpu_interference
491000,66000000,3485000,254000,8052.25,11332.66,19384.9,9.9e-05,4.7,16.56,50.79,cpu_interference
472000,63000000,3436000,252000,10516.14,16587.19,27103.34,0.0,5.62,16.29,52.14,normal
381000,52000000,3234000,238000,10426.54,16502.59,26929.14,0.00188,5.87,14.44,59.91,cpu_interference
495000,66000000,3486000,258000,9910.84,15330.09,25240.93,0.000236,4.46,13.05,43.24,cpu_interference
22000,3086000,288000,25000,7979.64,11265.66,19245.3,0.005817,5.43,13.94,50.45,cpu_interference
500000,63000000,3659000,275000,7973.16,11306.98,19280.13,0.0,5.15,10.21,92.24,normal
605000,71000000,3478000,257000,8385.21,12150.38,20535.59,0.0,5.22,12.71,41.62,normal
585000,71000000,3870000,288000,7871.7,11044.92,18916.61,0.0,5.13,13.06,47.66,normal
506000,64000000,3513000,262000,7946.62,11341.82,19288.43,0.0,5.28,19.95,48.68,normal
24000,3364000,249000,21000,7945.74,11341.43,19287.17,0.003615,5.43,10.66,52.2,cpu_interference
577000,71000000,3893000,289000,8469.45,12382.09,20851.54,0.0,5.55,10.97,43.0,normal
593000,71000000,3878000,292000,8427.96,12318.17,20746.13,0.0,5.37,12.5,46.97,normal
577000,71000000,3865000,286000,8466.71,12386.57,20853.28,0.0,5.46,10.89,47.89,normal
578000,71000000,3608000,277000,8533.18,12483.8,21016.98,0.0,5.35,20.97,51.5,normal
26000,3635000,1854000,141000,6810.75,9329.78,16140.53,0.008095,5.22,14.38,50.75,cpu_interference
483000,65000000,3325000,256000,7745.41,10514.76,18260.17,0.000188,4.93,12.32,52.68,cpu_interference
381000,52000000,2881000,219000,6515.31,9553.43,16068.74,0.000655,5.98,17.85,51.95,cpu_interference
330000,45000000,2307000,179000,5790.04,8176.47,13966.52,0.000377,5.83,23.4,195.77,cpu_interference
335000,45000000,2358000,181000,6585.52,9845.98,16431.5,0.000153,5.34,18.45,73.55,cpu_interference
24000,3074000,755000,58000,5622.48,7476.19,13098.68,0.002624,4.84,23.39,58.78,cpu_interference
376000,52000000,2508000,191000,6706.84,9084.71,15791.54,0.000544,5.0,21.45,45.36,cpu_interference
355000,48000000,2431000,185000,5651.54,7916.11,13567.65,0.000394,5.09,21.87,67.63,cpu_interference
363000,49000000,2406000,186000,6152.34,8821.03,14973.38,0.000386,5.37,16.32,50.92,cpu_interference
368000,49000000,2502000,193000,5938.27,8441.74,14380.0,6.5e-05,5.14,19.54,56.56,cpu_interference
24000,3287000,248000,18000,8148.59,11606.32,19754.9,0.003543,5.23,16.09,48.18,cpu_interference
577000,71000000,3916000,288000,8578.88,12570.03,21148.92,0.0,5.45,22.69,58.62,normal
597000,71000000,3898000,289000,8368.29,12421.21,20789.5,0.0,5.21,11.5,40.94,normal
616000,71000000,3897000,290000,8397.56,12476.91,20874.47,0.0,5.44,11.17,68.34,normal
617000,71000000,3885000,291000,8514.26,12496.27,21010.53,0.00415,5.67,24.36,60.36,cpu_interference
23000,3238000,245000,19000,8102.9,12080.0,20182.9,0.00574,5.39,10.19,38.71,cpu_interference
579000,68000000,3824000,283000,8147.79,12415.23,20563.02,0.0,5.13,9.79,45.06,normal
603000,68000000,3828000,282000,8064.94,12177.22,20242.17,0.0,5.28,12.0,45.32,normal
574000,67000000,3808000,284000,8120.63,12293.59,20414.21,0.0,5.48,8.11,58.17,normal
580000,68000000,3816000,289000,8016.79,11989.04,20005.83,0.0,5.41,12.29,40.85,normal
18000,2537000,246000,20000,7989.37,12037.5,20026.87,0.008951,5.29,9.89,34.24,cpu_interference
610000,71000000,3989000,293000,8264.13,12695.91,20960.05,0.0,5.21,12.57,40.4,normal
585000,67000000,3817000,285000,8001.82,12020.99,20022.8,0.001446,4.9,7.78,34.22,cpu_interference
611000,71000000,4002000,297000,8208.24,12637.67,20845.91,0.0,5.42,16.7,193.88,normal
608000,71000000,4000000,295000,8273.81,12747.6,21021.41,0.0,5.37,9.25,56.54,normal
50000,3974000,279000,20000,8115.21,12046.31,20161.52,0.00838,5.33,10.52,48.08,cpu_interference
613000,71000000,3992000,287000,8263.59,12677.37,20940.96,0.0,5.44,11.03,58.17,normal
617000,71000000,3984000,290000,8289.69,12617.3,20906.99,0.0,5.38,22.65,46.81,normal
612000,71000000,3994000,288000,8281.62,12708.88,20990.51,0.0,5.38,11.52,60.15,normal
622000,71000000,3992000,291000,8279.69,12634.64,20914.32,0.0,5.52,10.56,32.88,normal
35000,4868000,172000,12000,8201.78,11847.97,20049.75,0.004951,5.17,8.37,34.49,cpu_interference
592000,71000000,3904000,303000,8131.25,12117.86,20249.11,0.0,5.34,19.21,55.53,normal
584000,71000000,3874000,295000,8581.09,12664.42,21245.51,0.0,4.88,10.36,60.82,normal
587000,71000000,3917000,295000,8552.44,12590.95,21143.39,0.0,5.55,8.85,38.19,normal
576000,71000000,3918000,287000,8521.38,12477.1,20998.48,0.0,5.56,13.37,46.26,normal
40000,5477000,2995000,223000,7886.62,11020.61,18907.24,0.006231,5.48,10.88,41.81,cpu_interference
575000,71000000,3909000,283000,8505.18,12449.11,20954.29,0.0,5.27,11.17,99.07,normal
566000,71000000,3935000,281000,8450.2,12344.05,20794.25,0.0,5.37,12.93,60.83,normal
570000,71000000,3931000,282000,8433.12,12469.2,20902.32,0.0,5.52,11.68,44.62,normal
570000,71000000,3936000,280000,8563.96,12699.94,21263.9,0.0,5.28,10.07,43.64,normal
24000,2801000,264000,20000,7807.67,11058.25,18865.93,0.006671,5.1,11.21,48.54,cpu_interference
510000,64000000,3429000,252000,8112.36,11701.12,19813.48,0.0,5.12,18.54,54.65,normal
552000,69000000,3399000,249000,7605.72,10660.49,18266.21,0.0,4.92,13.12,45.44,normal
573000,71000000,3910000,288000,8461.11,12486.63,20947.74,0.0,5.28,14.58,55.69,normal
537000,64000000,3399000,256000,7796.14,11078.23,18874.37,0.0,4.97,11.42,62.11,normal
45000,2923000,209000,18000,8482.79,12224.72,20707.51,0.004825,5.0,21.3,67.51,cpu_interference
519000,71000000,3996000,262000,8943.87,13169.68,22113.55,0.0,5.35,20.42,73.74,normal
511000,71000000,3998000,261000,8978.74,13166.48,22145.22,0.0,5.62,20.14,86.31,normal
518000,71000000,4001000,261000,9055.12,13302.57,22357.69,0.0,5.59,14.33,51.07,normal
512000,71000000,4004000,264000,9013.36,13218.24,22231.6,0.0,5.62,11.94,43.1,normal
28000,3748000,345000,28000,8251.79,11787.75,20039.54,0.005783,5.63,21.59,65.89,cpu_interference
533000,71000000,4023000,270000,8862.77,13147.2,22009.97,0.0,5.11,14.43,53.6,normal
527000,71000000,4021000,269000,9017.49,13393.97,22411.45,0.0,5.48,11.9,47.58,normal
530000,71000000,4030000,269000,8957.7,13244.14,22201.83,0.0,5.68,13.66,49.06,normal
522000,71000000,4017000,262000,9033.13,13333.09,22366.22,0.0,5.71,22.65,82.48,normal
49000,5722000,792000,66000,8015.89,11353.33,19369.22,0.003511,5.33,10.0,38.19,cpu_interference
594000,71000000,3887000,292000,8351.75,12323.8,20675.55,0.0,5.38,11.19,51.88,normal
586000,71000000,3896000,287000,8681.05,12706.33,21387.38,0.0,5.38,24.11,57.37,normal
579000,71000000,3919000,292000,8513.45,12470.51,20983.96,0.00014,5.55,10.73,40.67,cpu_interference
576000,71000000,3914000,289000,8571.85,12524.21,21096.06,0.0,5.58,11.0,70.35,normal
22000,2634000,198000,15000,6197.55,8120.03,14317.59,0.008371,4.71,19.59,62.71,cpu_interference
437000,60000000,3206000,240000,7827.05,10536.44,18363.5,0.000117,5.1,17.04,43.83,cpu_interference
453000,60000000,2844000,213000,7962.27,11010.97,18973.25,0.00024,5.07,15.74,51.26,cpu_interference
442000,59000000,2891000,215000,7883.57,10738.86,18622.43,0.000224,5.67,20.24,62.54,cpu_interference
448000,60000000,3224000,241000,7628.58,10320.47,17949.05,6.2e-05,5.04,18.17,56.23,cpu_interference
29000,3454000,308000,26000,8097.64,12221.55,20319.19,0.001454,5.23,13.5,54.54,cpu_interference
610000,71000000,3997000,291000,8316.56,12717.86,21034.42,0.0,5.74,9.07,80.11,normal
609000,71000000,4007000,291000,8342.61,12791.2,21133.8,0.0,5.48,10.33,51.79,normal
609000,71000000,4009000,290000,8324.71,12707.07,21031.78,0.0,5.59,14.59,46.31,normal
607000,71000000,4009000,293000,8321.38,12680.29,21001.66,0.0,5.64,8.73,41.33,normal
27000,3380000,304000,27000,8043.42,11526.44,19569.87,0.005365,5.4,11.79,43.41,cpu_interference
588000,71000000,3882000,293000,5493.03,8030.56,13523.59,0.0,0.2,11.2,11.2,normal
186000,21000000,1111000,104000,2913.81,3448.8,6362.6,0.0,3.01,12.81,45.38,normal
188000,21000000,1111000,100000,2944.66,3467.9,6412.57,0.0,2.76,28.45,58.69,normal
188000,21000000,1112000,99000,2860.94,3417.65,6278.59,0.0,2.74,24.06,50.09,normal
183000,21000000,1110000,98000,2920.81,3408.81,6329.62,0.0,2.79,17.63,51.66,normal
474000,50000000,2741000,231000,4762.78,6373.67,11136.44,0.001799,2.54,23.94,44.3,cpu_interference
183000,21000000,1105000,99000,2933.66,3435.57,6369.24,0.0,2.85,31.15,74.73,normal
185000,21000000,1124000,101000,2964.23,3428.57,6392.8,0.0,2.79,34.23,151.54,normal
181000,21000000,1123000,100000,3018.64,3501.28,6519.92,0.0,2.63,12.38,46.21,normal
181000,21000000,1108000,99000,2942.48,3443.59,6386.07,0.0,2.57,28.69,69.62,normal
16000,2069000,915000,83000,6931.33,8871.98,15803.3,0.014629,2.62,12.41,43.0,cpu_interference
195000,21000000,1115000,105000,2926.52,3432.93,6359.45,0.0,2.68,25.51,72.37,normal
194000,21000000,1127000,105000,2953.09,3438.44,6391.53,0.0,3.11,12.27,99.07,normal
190000,21000000,1125000,103000,2855.99,3428.86,6284.85,0.0,2.49,10.72,27.56,normal
191000,21000000,1108000,97000,2942.41,3421.88,6364.3,0.0,2.74,23.91,45.69,normal
10000,1265000,2310000,181000,6597.66,8901.73,15499.39,0.009197,2.54,12.48,33.08,cpu_interference
190000,21000000,1128000,99000,2891.68,3435.1,6326.78,0.0,2.66,14.52,221.85,normal
184000,21000000,1116000,99000,2951.33,3512.15,6463.48,0.0,2.78,19.45,49.64,normal
183000,21000000,1113000,96000,2935.85,3448.96,6384.81,0.0,2.72,13.63,35.66,normal
182000,21000000,1115000,97000,2986.78,3504.6,6491.38,0.0,3.02,14.93,45.23,normal
470000,51000000,2644000,235000,4362.92,5135.48,9498.4,0.008402,3.02,16.45,31.14,cpu_interference
184000,21000000,1108000,101000,2979.42,3417.78,6397.2,0.0,2.69,14.41,42.12,normal
184000,21000000,1110000,100000,2925.81,3427.5,6353.31,0.0,2.75,13.97,38.87,normal
183000,21000000,1107000,99000,2967.43,3444.8,6412.23,0.0,3.68,12.18,54.21,normal
180000,21000000,1108000,100000,2939.36,3468.0,6407.35,0.0,2.84,14.69,49.96,normal
475000,57000000,3043000,245000,4800.7,5804.41,10605.11,0.006704,2.58,14.28,57.88,cpu_interference
183000,21000000,1105000,97000,2967.29,3420.4,6387.69,0.0,2.89,12.85,39.09,normal
183000,21000000,1105000,96000,2871.95,3423.8,6295.75,0.0,2.7,13.21,144.52,normal
185000,21000000,1108000,99000,2866.8,3421.61,6288.41,0.0,2.72,20.45,64.86,normal
256000,21000000,1111000,96000,2959.94,3477.56,6437.5,0.0,2.74,11.19,32.26,normal
185000,21000000,1112000,101000,2920.4,3404.11,6324.51,0.0,2.73,16.25,42.61,normal
187000,21000000,1111000,104000,2943.33,3481.28,6424.61,0.0,2.93,13.25,95.11,normal
189000,21000000,1112000,102000,2931.6,3419.03,6350.63,0.0,2.81,13.3,40.91,normal
188000,21000000,1113000,101000,2905.08,3415.54,6320.62,0.0,2.66,15.14,76.78,normal
10000,1127000,247000,24000,6007.4,7514.69,13522.09,0.013682,3.32,24.82,52.82,cpu_interference
183000,21000000,1108000,100000,2969.73,3472.16,6441.9,0.0,2.66,17.07,44.89,normal
182000,21000000,1107000,96000,2968.74,3461.51,6430.25,0.0,2.83,12.23,30.69,normal
180000,21000000,1107000,96000,2978.8,3458.87,6437.67,0.0,2.63,18.31,53.45,normal
181000,21000000,1107000,98000,2948.95,3431.38,6380.33,0.0,2.88,19.57,55.3,normal
390000,47000000,1460000,126000,2923.38,3426.3,6349.68,0.014583,2.62,14.7,45.97,cpu_interference
186000,21000000,1107000,105000,2904.43,3435.11,6339.54,0.0,2.77,26.41,123.46,normal
188000,21000000,1109000,103000,2892.47,3460.32,6352.79,0.0,2.78,18.1,46.17,normal
186000,21000000,1107000,101000,2871.1,3419.27,6290.36,0.0,2.83,33.41,72.97,normal
187000,21000000,1107000,101000,2868.97,3383.87,6252.84,0.0,2.43,18.53,167.94,normal
385000,47000000,2483000,196000,5246.54,6432.55,11679.1,0.015963,2.79,15.71,150.57,cpu_interference
184000,21000000,1114000,99000,2901.04,3423.99,6325.04,0.0,2.77,11.13,34.9,normal
186000,21000000,1113000,100000,2905.06,3420.66,6325.72,0.0,2.89,13.23,43.43,normal
185000,21000000,1113000,98000,2939.13,3441.1,6380.23,0.0,3.02,12.69,51.9,normal
186000,21000000,1113000,97000,2932.29,3459.58,6391.86,0.0,2.8,12.31,32.81,normal
188000,21000000,1110000,102000,2889.8,3463.53,6353.33,0.0,2.86,13.29,40.0,normal
188000,21000000,1107000,103000,2881.25,3392.47,6273.72,0.0,2.87,13.84,85.9,normal
186000,21000000,1107000,104000,2914.92,3443.73,6358.66,0.0,2.71,12.85,74.88,normal
189000,21000000,1108000,103000,2876.91,3412.72,6289.63,0.0,2.85,13.0,40.55,normal
22000,2467000,871000,75000,6688.55,8681.83,15370.38,0.031558,2.48,12.29,33.71,cpu_interference
192000,21000000,1116000,106000,2953.92,3417.01,6370.93,0.0,3.13,12.3,41.37,normal
195000,21000000,1106000,101000,2955.97,3431.19,6387.17,0.0,2.83,19.24,38.82,normal
194000,21000000,1108000,100000,2942.35,3473.06,6415.41,0.0,2.74,13.14,42.61,normal
182000,21000000,1113000,101000,2932.47,3426.19,6358.66,0.0,2.75,26.28,59.66,normal
16000,2137000,203000,15000,5358.11,6655.22,12013.33,0.007849,3.49,14.93,44.64,cpu_interference
188000,21000000,1125000,94000,2952.39,3433.42,6385.81,0.0,2.76,16.1,59.95,normal
191000,21000000,1104000,96000,2915.87,3415.2,6331.07,0.0,2.74,14.57,147.2,normal
181000,21000000,1102000,92000,2985.69,3439.18,6424.88,0.0,2.85,15.13,41.1,normal
183000,21000000,1108000,95000,2953.01,3459.06,6412.07,0.0,2.7,21.69,66.31,normal
