model,accuracy,precision_macro,recall_macro,f1_macro,latency_ms,mem_overhead_MiB,cpu_avg_pct,roc_auc_cpu_interference,ap_cpu_interference,roc_auc_incast,ap_incast,roc_auc_memory_contention,ap_memory_contention,roc_auc_normal,ap_normal
mlp_model,0.6136621315192744,0.4767790068615907,0.3602609028837747,0.3563459297981454,0.0011644078712862544,-3.390625,5609.4,0.5854244856355978,0.18857713869733086,0.657087272696708,0.35041684514018745,0.5491314021243082,0.11890652783455247,0.6087390015997672,0.6272649877255406
random_forest_model,0.9840325018896448,0.9790398957675555,0.9696811071763831,0.9742671396107829,0.024219813847453957,13.56640625,326.33333333333326,0.9989595333669342,0.9930698288711435,0.9980596084321923,0.9948606097299796,0.9966470546405394,0.9867513683507341,0.999006489965096,0.9991102117645652
svm_model,0.7876984126984127,0.7276153213415626,0.5763473328049596,0.6021348968767216,0.223841716500896,0.0,101.92425742574255,0.9270002685075184,0.6273050640141487,0.8880205990830733,0.6531999683162594,0.8067712383184193,0.43228075279146094,0.9188075552646887,0.8837312724855771
